joannezhao, 36182, Wed May 28 20:48:53 EDT 2014



Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 0
[Avatar 0] Turn 0: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (3, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 2: (9, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 3: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 4: (3, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 5: (9, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 6: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (3, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 8: (9, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 9: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 10: (3, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 11: (9, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 12: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (3, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 14: (9, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 15: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 16: (3, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 17: (9, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 18: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 20: (9, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 21: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 22: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 23: (9, 2) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 24: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 26: (10, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 27: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 28: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 29: (10, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 30: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 32: (10, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 33: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 34: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 35: (11, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 36: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 38: (11, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 39: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 40: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 41: (11, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 42: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 43: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 44: (11, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 45: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 46: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 47: (11, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 48: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 49: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 50: (11, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 51: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 52: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 53: (11, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 54: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 55: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 56: (11, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 57: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 58: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 59: (11, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 60: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 61: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 62: (11, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 63: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 64: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 65: (11, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 66: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 67: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 68: (11, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 69: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 70: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 71: (11, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 72: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 73: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 74: (11, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 75: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 76: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 77: (11, 5) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 78: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 79: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 80: (11, 4) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 81: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 82: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 83: (11, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 84: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 85: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 86: (11, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 87: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 88: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 89: (11, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 90: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 91: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 92: (11, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 93: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 94: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 95: (10, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 96: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 97: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 98: (10, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 99: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 100: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 101: (9, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 102: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 103: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 104: (8, 0) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 105: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 106: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 107: (8, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 108: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 109: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 110: (8, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 111: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 112: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 113: (8, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 114: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 115: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 116: (8, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 117: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 118: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 119: (7, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 120: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 121: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 122: (7, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 123: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 124: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 125: (7, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 126: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 127: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 128: (7, 4) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 129: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 130: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 131: (8, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 132: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 133: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 134: (8, 4) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 135: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 136: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 137: (9, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 138: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 139: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 140: (9, 4) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 141: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 142: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 143: (10, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 144: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 145: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 146: (10, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 147: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 148: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 149: (10, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 150: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 151: (4, 9) AM_AVATAR_MOVE Direction: NULL
