joannezhao, 41983, Wed May 28 21:16:17 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 7
Sent AM_AVATAR_READY signal with AvatarID: 4



Sent AM_AVATAR_READY signal with AvatarID: 8Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 3

Sent AM_AVATAR_READY signal with AvatarID: 2Sent AM_AVATAR_READY signal with AvatarID: 5Sent AM_AVATAR_READY signal with AvatarID: 6[Avatar 0] Turn 0: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 7] Turn 70: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 8] Turn 71: (3, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 72: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 73: (3, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 74: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 76: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 77: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 78: (0, 1) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 75: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 7] Turn 79: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 8] Turn 80: (2, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 81: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 82: (2, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 83: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 84: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 85: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 86: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 87: (1, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 88: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 8] Turn 89: (2, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 90: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 91: (2, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 92: (0, 2) AM_AVATAR_MOVE Direction: NULL

[Avatar 3] Turn 93: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 94: (0, 2) AM_AVATAR_MOVE Direction: NULL[Avatar 5] Turn 95: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 96: (1, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 7] Turn 97: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 8] Turn 98: (1, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 99: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 100: (1, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 101: (0, 2) AM_AVATAR_MOVE Direction: NULL

