joannezhao, 47066, Wed May 28 20:54:36 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0

Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 2
[Avatar 0] Turn 0: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (15, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 2: (5, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 3: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 4: (15, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 5: (4, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 6: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (15, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 8: (3, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 9: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 10: (16, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 11: (3, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 12: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (16, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 14: (3, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 15: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 16: (17, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 17: (2, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 18: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (17, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 20: (2, 22) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 21: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 22: (17, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 23: (2, 21) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 24: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (17, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 26: (2, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 27: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 28: (16, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 29: (2, 20) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 30: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (16, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 32: (1, 20) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 33: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 34: (16, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 35: (0, 20) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 36: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (16, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 38: (0, 20) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 39: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 40: (16, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 41: (0, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 42: (21, 12) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 43: (16, 8) AM_AVATAR_MOVE Direction: EAST
