joannezhao, 47720, Wed May 28 21:13:33 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 2


Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 3Sent AM_AVATAR_READY signal with AvatarID: 6
Sent AM_AVATAR_READY signal with AvatarID: 4

[Avatar 2] Turn 72: (5, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 73: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 74: (0, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 75: (0, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 76: (2, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 77: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 78: (0, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 79: (4, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 80: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 81: (0, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 82: (0, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 83: (2, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 84: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 85: (0, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 86: (4, 0) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 87: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 88: (0, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 89: (0, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 90: (2, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 91: (2, 0) AM_AVATAR_MOVE Direction: NULL
