joannezhao, 52116, Wed May 28 20:48:31 EDT 2014



Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 0
[Avatar 0] Turn 0: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (3, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 2: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 3: (3, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 4: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 5: (3, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 6: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (3, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 8: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 9: (3, 1) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 10: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (3, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 12: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (3, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 14: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 15: (3, 2) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 16: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 17: (4, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 18: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (4, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 20: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (4, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 22: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 23: (3, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 24: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (2, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 26: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 27: (2, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 28: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 29: (2, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 30: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (2, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 32: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 33: (1, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 34: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 35: (1, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 36: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (0, 3) AM_AVATAR_MOVE Direction: NORTH
Maze solved in 38 turns
Hash: 3896810810l
