joannezhao, 45509, Wed May 28 20:48:41 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 1

Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 0Sent AM_AVATAR_READY signal with AvatarID: 4
[Avatar 0] Turn 0: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 3: (3, 0) AM_AVATAR_MOVE Direction: WEST

[Avatar 1] Turn 1: (2, 5) AM_AVATAR_MOVE Direction: NORTH[Avatar 4] Turn 4: (2, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 2: (4, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 5: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 6: (2, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 7: (4, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 8: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 9: (2, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 10: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (2, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 12: (4, 4) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 13: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 14: (2, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 15: (2, 0) AM_AVATAR_MOVE Direction: NULL

[Avatar 1] Turn 16: (1, 5) AM_AVATAR_MOVE Direction: NORTH[Avatar 2] Turn 17: (5, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 18: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 19: (1, 5) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 20: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (1, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 22: (5, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 23: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 24: (1, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 25: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 26: (1, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 27: (5, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 28: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 29: (1, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 30: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (1, 6) AM_AVATAR_MOVE Direction: EAST

[Avatar 2] Turn 32: (5, 2) AM_AVATAR_MOVE Direction: WEST[Avatar 3] Turn 33: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 34: (1, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 35: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 36: (1, 6) AM_AVATAR_MOVE Direction: WEST

[Avatar 3] Turn 38: (2, 0) AM_AVATAR_MOVE Direction: NULL[Avatar 2] Turn 37: (5, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 39: (0, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 40: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 41: (0, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 42: (5, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 43: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 44: (0, 5) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 45: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 46: (0, 5) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 47: (5, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 48: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 49: (0, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 50: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 51: (0, 4) AM_AVATAR_MOVE Direction: NORTH
