joannezhao, 50890, Wed May 28 20:48:58 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 2

Sent AM_AVATAR_READY signal with AvatarID: 1Sent AM_AVATAR_READY signal with AvatarID: 3
[Avatar 0] Turn 0: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (3, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 2: (9, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 3: (9, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 4: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 5: (3, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 6: (9, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 7: (8, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 8: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 9: (3, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 10: (9, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 11: (7, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 12: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (3, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 14: (9, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 15: (7, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 16: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 17: (3, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 18: (9, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 19: (7, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 20: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (3, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 22: (9, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 23: (7, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 24: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 26: (9, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 27: (6, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 28: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 29: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 30: (9, 2) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 31: (6, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 32: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 33: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 34: (10, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 35: (6, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 36: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 38: (10, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 1] Turn 37: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 39: (5, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 40: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 1] Turn 41: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 2] Turn 42: (10, 3) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 43: (4, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 44: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 45: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 46: (11, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 47: (4, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 48: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 49: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 50: (11, 4) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 51: (4, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 52: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 53: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 54: (11, 4) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 55: (4, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 56: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 57: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 58: (11, 5) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 59: (4, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 60: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 61: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 62: (11, 5) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 63: (4, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 64: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 65: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 66: (11, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 67: (4, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 68: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 69: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 70: (11, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 71: (4, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 72: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 73: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 74: (11, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 75: (3, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 76: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 77: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 78: (11, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 79: (3, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 80: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 81: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 82: (11, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 83: (3, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 84: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 85: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 86: (11, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 87: (3, 9) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 88: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 89: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 90: (11, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 91: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 92: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 93: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 94: (11, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 95: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 96: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 97: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 98: (11, 5) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 99: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 100: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 101: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 102: (11, 5) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 103: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 104: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 105: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 106: (11, 4) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 107: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 108: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 109: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 110: (11, 4) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 111: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 112: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 113: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 114: (11, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 115: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 116: (4, 9) AM_AVATAR_MOVE Direction: NULL

[Avatar 1] Turn 117: (4, 9) AM_AVATAR_MOVE Direction: NULL[Avatar 2] Turn 118: (11, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 119: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 120: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 121: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 122: (11, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 123: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 124: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 126: (10, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 1] Turn 125: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 127: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 128: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 130: (10, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 1] Turn 129: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 131: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 132: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 133: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 134: (9, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 135: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 136: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 138: (8, 0) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 1] Turn 137: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 139: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 140: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 141: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 142: (8, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 143: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 144: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 145: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 146: (8, 2) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 147: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 148: (4, 9) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 150: (8, 3) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 1] Turn 149: (4, 9) AM_AVATAR_MOVE Direction: NULL
