joannezhao, 44362, Wed May 28 05:42:52 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 0
[Avatar 0] Turn 0: (26, 15) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (11, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (24, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 3: (24, 38) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 4: (26, 15) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 5: (10, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 6: (24, 13) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 7: (24, 38) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 8: (26, 15) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 9: (9, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 10: (24, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 11: (25, 38) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 12: (26, 15) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (8, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 14: (24, 14) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 15: (25, 37) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 16: (26, 15) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 17: (8, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 18: (24, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 19: (25, 36) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 20: (26, 15) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (8, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 22: (23, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 23: (25, 36) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 24: (26, 15) AM_AVATAR_MOVE Direction: NULL

[Avatar 1] Turn 25: (8, 7) AM_AVATAR_MOVE Direction: WEST[Avatar 2] Turn 26: (23, 15) AM_AVATAR_MOVE Direction: NORTH
