joannezhao, 40019, Wed May 28 06:54:46 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 1
[Avatar 0] Turn 0: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (53, 37) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 2: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 3: (53, 37) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 4: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 5: (53, 37) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 6: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (54, 37) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 8: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 9: (54, 38) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 10: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (54, 38) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 12: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (54, 38) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 14: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 15: (55, 38) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 16: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 17: (55, 39) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 18: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (54, 39) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 20: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (54, 39) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 22: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 23: (54, 40) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 24: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (54, 40) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 26: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 27: (54, 40) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 28: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 29: (55, 40) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 30: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (55, 41) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 32: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 33: (55, 41) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 34: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 35: (55, 41) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 36: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (55, 41) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 38: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 39: (55, 40) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 40: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 41: (55, 40) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 42: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 43: (54, 40) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 44: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 45: (54, 39) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 46: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 47: (55, 39) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 48: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 49: (55, 39) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 50: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 51: (55, 38) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 52: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 53: (55, 37) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 54: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 55: (55, 37) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 56: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 57: (55, 37) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 58: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 59: (55, 37) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 60: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 61: (55, 38) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 62: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 63: (55, 38) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 64: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 65: (54, 38) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 66: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 67: (54, 37) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 68: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 69: (54, 36) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 70: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 71: (54, 36) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 72: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 73: (55, 36) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 74: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 75: (55, 35) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 76: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 77: (54, 35) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 78: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 79: (53, 35) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 80: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 81: (53, 36) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 82: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 83: (52, 36) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 84: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 85: (52, 37) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 86: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 87: (52, 38) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 88: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 89: (52, 38) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 90: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 91: (52, 38) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 92: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 93: (53, 38) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 94: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 95: (53, 39) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 96: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 97: (52, 39) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 98: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 99: (51, 39) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 100: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 101: (51, 40) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 102: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 103: (51, 40) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 104: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 105: (51, 40) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 106: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 107: (51, 40) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 108: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 109: (51, 39) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 110: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 111: (51, 39) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 112: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 113: (51, 38) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 114: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 115: (50, 38) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 116: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 117: (50, 38) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 118: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 119: (49, 38) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 120: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 121: (49, 38) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 122: (48, 43) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 123: (48, 38) AM_AVATAR_MOVE Direction: SOUTH
