joannezhao, 41172, Wed May 28 03:29:20 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 2
Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 1
[Avatar 0] Turn 0: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (29, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (0, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 3: (29, 29) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 4: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 5: (28, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 6: (0, 28) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 7: (28, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 8: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 9: (27, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 10: (0, 27) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 11: (28, 29) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 12: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (26, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 14: (0, 26) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 15: (27, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 16: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 17: (26, 0) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 18: (0, 25) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 19: (27, 28) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 20: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (26, 0) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 22: (0, 25) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 23: (27, 28) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 24: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (26, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 26: (1, 25) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 27: (26, 28) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 28: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 29: (25, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 30: (1, 24) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 31: (26, 28) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 32: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 33: (25, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 34: (1, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 35: (26, 28) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 36: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (25, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 38: (0, 24) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 39: (26, 29) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 40: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 41: (24, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 42: (0, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 43: (26, 29) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 44: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 45: (23, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 46: (0, 23) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 47: (26, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 48: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 49: (23, 0) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 50: (1, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 51: (26, 28) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 52: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 53: (23, 0) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 54: (1, 23) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 55: (26, 29) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 56: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 57: (23, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 58: (2, 23) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 59: (26, 29) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 60: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 61: (22, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 62: (2, 22) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 63: (26, 28) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 64: (0, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 65: (22, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 66: (2, 21) AM_AVATAR_MOVE Direction: NORTH
