joannezhao, 55373, Wed May 28 04:08:51 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 1

Sent AM_AVATAR_READY signal with AvatarID: 2Sent AM_AVATAR_READY signal with AvatarID: 0
[Avatar 0] Turn 0: (29, 8) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (15, 17) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (20, 11) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 3: (29, 8) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 4: (15, 17) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 5: (20, 11) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 6: (29, 8) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 7: (15, 17) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 8: (20, 10) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 9: (29, 8) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 10: (15, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 11: (20, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 12: (29, 8) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 13: (15, 18) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 14: (20, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 15: (29, 8) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 16: (15, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 17: (20, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 18: (29, 8) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 19: (14, 19) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 20: (20, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 21: (29, 8) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 22: (14, 19) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 23: (20, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 24: (29, 8) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 25: (14, 18) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 26: (20, 8) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 27: (29, 8) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 28: (14, 18) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 29: (21, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 30: (29, 8) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (14, 17) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 32: (21, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 33: (29, 8) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 34: (14, 17) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 35: (21, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 0] Turn 36: (29, 8) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 37: (14, 17) AM_AVATAR_MOVE Direction: SOUTH
